number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_min_child_samples,params_num_leaves,params_scale_pos_weight,user_attrs_best_iter,state
18,0.5767192299567908,2026-06-15 03:51:40.482671,2026-06-15 03:51:42.505307,0 days 00:00:02.022636,0.5469465560089013,7,0.7199556368400009,4.0206055829819266e-06,6.479872737032061e-08,0.17260092298982577,167,102,1.7738930259811905,99,COMPLETE
19,0.5624419922603315,2026-06-15 03:51:42.505335,2026-06-15 03:51:44.751519,0 days 00:00:02.246184,0.7018539219083231,6,0.594346564681361,0.004939392464663168,0.00013476723618948054,0.07220471514318359,122,128,9.302006277217373,94,COMPLETE
20,0.5610000174664562,2026-06-15 03:51:44.751546,2026-06-15 03:51:47.527172,0 days 00:00:02.775626,0.5463945125392098,4,0.9296472010314427,0.0003248509743617592,3.1742499660516616e-06,0.12601633752714464,82,115,20.710668358979504,132,COMPLETE
21,0.5968500186049325,2026-06-15 03:51:47.527201,2026-06-15 03:51:51.143864,0 days 00:00:03.616663,0.5067295746357541,4,0.6533676066838329,0.00138292026401078,0.0037189396490280528,0.09975956487505654,105,127,1.3151957761688176,152,COMPLETE
22,0.5757121057446167,2026-06-15 03:51:51.143893,2026-06-15 03:51:52.819421,0 days 00:00:01.675528,0.5452112405496548,5,0.6490986677248692,0.01645009518869506,0.004675278087850998,0.1852490915176803,98,121,1.5618023275654291,60,COMPLETE
23,0.5746079876022326,2026-06-15 03:51:52.819450,2026-06-15 03:51:57.419011,0 days 00:00:04.599561,0.5976545027185212,4,0.6946831558792991,0.000760055105001685,0.00033714761656287686,0.08421218365828911,134,99,8.676042646864255,246,COMPLETE
24,0.574816196388821,2026-06-15 03:51:57.419041,2026-06-15 03:52:01.390994,0 days 00:00:03.971953,0.5139836011559041,3,0.5705083376867472,0.47660324088052314,3.230953776777884e-05,0.11492383090889495,114,119,6.094274785805672,182,COMPLETE
25,0.5683857537100405,2026-06-15 03:52:01.391022,2026-06-15 03:52:04.827772,0 days 00:00:03.436750,0.6146522903793946,6,0.6315782607681344,0.002756477768747786,0.020084866325675927,0.05977020360151687,167,128,11.729322319591024,146,COMPLETE
26,0.5738063238612932,2026-06-15 03:52:04.827802,2026-06-15 03:52:06.430721,0 days 00:00:01.602919,0.5465751965846961,5,0.7354800851229796,2.1154463302348093e-05,0.0010049660331368888,0.14968029462630056,138,104,5.0548439023233565,65,COMPLETE
27,0.555489027117719,2026-06-15 03:52:06.430746,2026-06-15 03:52:08.178781,0 days 00:00:01.748035,0.5787425857681099,4,0.6631765455872161,0.025131919685908537,0.015571758503146783,0.20956105228909452,165,114,13.841753849951603,69,COMPLETE
